InvoiceNo,CustomerID,InvoiceDate,order_gmv,items,period
536599,15694,2010-12-02 07:49:00,306.4,80,pre
536600,17850,2010-12-02 08:32:00,251.62,56,pre
536601,17850,2010-12-02 08:33:00,22.200000000000003,12,pre
536602,17850,2010-12-02 08:34:00,163.76,64,pre
536603,17850,2010-12-02 08:40:00,22.200000000000003,12,pre
536604,14741,2010-12-02 08:43:00,184.5,114,pre
536605,13715,2010-12-02 08:52:00,272.65000000000003,107,pre
536607,17732,2010-12-02 09:29:00,303.97,93,pre
536608,12855,2010-12-02 09:37:00,38.1,30,pre
536609,17850,2010-12-02 09:41:00,244.46,88,pre
536610,17850,2010-12-02 09:42:00,22.200000000000003,12,pre
536611,15752,2010-12-02 09:43:00,259.65000000000003,153,pre
536612,17850,2010-12-02 09:44:00,206.76,82,pre
536613,17855,2010-12-02 09:44:00,208.97,197,pre
536614,17850,2010-12-02 09:44:00,22.200000000000003,12,pre
536615,14047,2010-12-02 10:09:00,286.92,108,pre
536616,17925,2010-12-02 10:10:00,244.08,72,pre
536617,13941,2010-12-02 10:17:00,1095.1200000000001,644,pre
536618,17017,2010-12-02 10:17:00,780.12,600,pre
536619,17017,2010-12-02 10:18:00,97.19999999999999,48,pre
536620,14135,2010-12-02 10:27:00,485.25,741,pre
536621,13108,2010-12-02 10:35:00,350.06,298,pre
536623,15601,2010-12-02 10:39:00,768.38,666,pre
536624,13418,2010-12-02 10:45:00,610.64,228,pre
536626,13418,2010-12-02 10:46:00,12.600000000000001,6,pre
536627,15658,2010-12-02 10:53:00,306.20000000000005,64,pre
536628,17850,2010-12-02 10:54:00,230.56,86,pre
536629,17850,2010-12-02 10:55:00,22.200000000000003,12,pre
536630,17850,2010-12-02 10:56:00,244.46,88,pre
536631,17850,2010-12-02 10:58:00,22.200000000000003,12,pre
536632,14388,2010-12-02 11:02:00,312.8,170,pre
536633,14901,2010-12-02 11:20:00,204.15,105,pre
536634,18041,2010-12-02 11:21:00,193.78,159,pre
536635,15955,2010-12-02 11:22:00,572.38,246,pre
536636,15070,2010-12-02 11:23:00,106.2,36,pre
536637,18041,2010-12-02 11:35:00,235.16,165,pre
536638,16244,2010-12-02 11:41:00,1056.63,619,pre
536639,15111,2010-12-02 11:45:00,288.5,106,pre
536641,12748,2010-12-02 11:46:00,4.25,1,pre
536643,14390,2010-12-02 11:57:00,223.7,74,pre
536663,16546,2010-12-02 12:07:00,299.40000000000003,156,pre
536667,15260,2010-12-02 12:09:00,362.5,214,pre
536670,15260,2010-12-02 12:09:00,58.0,40,pre
536671,13305,2010-12-02 12:10:00,136.2,132,pre
536672,14491,2010-12-02 12:10:00,127.2,40,pre
536673,14060,2010-12-02 12:11:00,339.84,504,pre
536674,15923,2010-12-02 12:16:00,127.08,122,pre
536676,16752,2010-12-02 12:18:00,207.5,54,pre
536681,17287,2010-12-02 12:22:00,113.92,46,pre
536685,17850,2010-12-02 12:23:00,380.46,108,pre
536688,17850,2010-12-02 12:24:00,22.200000000000003,12,pre
536690,17850,2010-12-02 12:25:00,331.26,92,pre
536693,17850,2010-12-02 12:26:00,22.200000000000003,12,pre
536698,15363,2010-12-02 12:28:00,326.0,144,pre
536707,12915,2010-12-02 12:33:00,199.65,41,pre
536732,15544,2010-12-02 12:47:00,354.54,274,pre
536733,15738,2010-12-02 12:50:00,329.65000000000003,255,pre
536735,17381,2010-12-02 12:58:00,211.2,128,pre
536736,17381,2010-12-02 12:59:00,824.88,1296,pre
536738,15827,2010-12-02 13:06:00,98.18,42,pre
536739,14180,2010-12-02 13:08:00,201.75,31,pre
536740,15827,2010-12-02 13:08:00,92.75,67,pre
536741,13117,2010-12-02 13:11:00,202.12,130,pre
536742,16916,2010-12-02 13:14:00,198.08,103,pre
536743,17964,2010-12-02 13:32:00,261.76,195,pre
536744,14466,2010-12-02 13:36:00,379.75,137,pre
536745,17235,2010-12-02 13:38:00,341.9,126,pre
536746,16510,2010-12-02 13:39:00,248.1,92,pre
536747,17802,2010-12-02 13:44:00,100.2,75,pre
536748,15107,2010-12-02 13:45:00,116.0,26,pre
536749,17976,2010-12-02 13:49:00,353.19,106,pre
536750,17850,2010-12-02 14:04:00,434.8,118,pre
536751,17850,2010-12-02 14:05:00,22.200000000000003,12,pre
536752,17850,2010-12-02 14:06:00,390.66,104,pre
536753,17850,2010-12-02 14:07:00,22.200000000000003,12,pre
536754,14449,2010-12-02 14:09:00,210.24,142,pre
536759,16781,2010-12-02 14:26:00,311.25,113,pre
536761,13491,2010-12-02 14:30:00,98.9,36,pre
536762,16186,2010-12-02 14:40:00,307.68,231,pre
536763,17685,2010-12-02 14:42:00,452.52,331,pre
536769,17581,2010-12-02 14:47:00,668.4,375,pre
536771,17581,2010-12-02 14:49:00,118.38,66,pre
536777,15732,2010-12-02 15:00:00,138.1,97,pre
536778,13138,2010-12-02 15:03:00,193.23,125,pre
536779,15823,2010-12-02 15:08:00,15.0,1,pre
536781,17460,2010-12-02 15:14:00,50.400000000000006,24,pre
536782,17567,2010-12-02 15:18:00,517.95,244,pre
536783,15061,2010-12-02 15:19:00,4076.48,2909,pre
536784,15061,2010-12-02 15:20:00,2170.9,1330,pre
536785,15061,2010-12-02 15:22:00,2730.96,1008,pre
536786,15061,2010-12-02 15:23:00,324.0,144,pre
536787,17850,2010-12-02 15:24:00,192.46,76,pre
536788,15061,2010-12-02 15:25:00,75.0,60,pre
536789,17850,2010-12-02 15:25:00,22.200000000000003,12,pre
536790,17850,2010-12-02 15:26:00,532.01,141,pre
536791,17850,2010-12-02 15:27:00,44.400000000000006,24,pre
536792,15061,2010-12-02 15:28:00,30.0,24,pre
536793,16203,2010-12-02 15:39:00,170.7,70,pre
536794,13767,2010-12-02 15:40:00,322.8,96,pre
536795,15640,2010-12-02 15:40:00,333.72,180,pre
536796,15574,2010-12-02 15:46:00,375.65,176,pre
536797,16770,2010-12-02 15:49:00,130.8,56,pre
536798,17838,2010-12-02 15:55:00,717.1600000000001,472,pre
536799,17228,2010-12-02 16:00:00,183.3,122,pre
536800,14829,2010-12-02 16:12:00,236.97,190,pre
536802,17412,2010-12-02 16:29:00,197.3,50,pre
536803,14911,2010-12-02 16:33:00,22.5,6,pre
536804,14031,2010-12-02 16:34:00,1714.25,531,pre
536805,14775,2010-12-02 16:38:00,406.56,384,pre
536806,12971,2010-12-02 16:42:00,45.12,84,pre
536808,17659,2010-12-02 16:46:00,247.8,64,pre
536809,15299,2010-12-02 16:48:00,1003.2,1824,pre
536810,15299,2010-12-02 16:50:00,303.96,204,pre
536811,15299,2010-12-02 16:51:00,527.85,69,pre
536813,15646,2010-12-02 16:59:00,189.8,230,pre
536819,13402,2010-12-02 17:12:00,308.28000000000003,190,pre
536821,17757,2010-12-02 17:17:00,143.45000000000002,80,pre
536823,13011,2010-12-02 17:22:00,50.550000000000004,13,pre
536824,13798,2010-12-02 17:24:00,408.0,160,pre
536830,16754,2010-12-02 17:38:00,2002.4,4280,pre
536831,16029,2010-12-02 17:40:00,569.4,260,pre
536832,16634,2010-12-02 17:41:00,164.8,64,pre
536833,18239,2010-12-02 17:48:00,438.1,208,pre
536834,14576,2010-12-02 17:51:00,35.400000000000006,12,pre
536835,13145,2010-12-02 18:06:00,295.0,1,pre
536836,18168,2010-12-02 18:08:00,263.3,133,pre
536837,14395,2010-12-02 18:15:00,308.68,174,pre
536838,14865,2010-12-02 18:23:00,37.2,96,pre
536839,15093,2010-12-02 18:25:00,623.73,879,pre
536840,12738,2010-12-02 18:27:00,155.35,148,pre
536841,16150,2010-12-02 18:27:00,393.41999999999996,174,pre
536842,17552,2010-12-02 18:45:00,263.62,130,pre
536843,17552,2010-12-02 18:46:00,34.9,14,pre
536844,14236,2010-12-02 18:49:00,189.3,38,pre
536845,17961,2010-12-02 19:18:00,127.55,45,pre
536846,14573,2010-12-02 19:59:00,413.1,134,pre
536847,17135,2010-12-03 09:31:00,215.57999999999998,222,pre
536848,13408,2010-12-03 09:39:00,534.0,280,pre
536849,17396,2010-12-03 09:45:00,397.5,106,pre
536851,12967,2010-12-03 09:49:00,1368.4,360,pre
536852,12686,2010-12-03 09:51:00,89.14,107,pre
536856,13370,2010-12-03 10:26:00,754.87,343,pre
536857,16883,2010-12-03 10:33:00,128.03,54,pre
536858,13520,2010-12-03 10:36:00,303.4,110,pre
536859,12841,2010-12-03 10:43:00,294.25,186,pre
536860,16905,2010-12-03 10:43:00,254.39999999999998,108,pre
536861,12427,2010-12-03 10:44:00,303.5,79,pre
536863,17967,2010-12-03 11:19:00,123.07,80,pre
536874,16891,2010-12-03 11:35:00,232.26,92,pre
536884,14589,2010-12-03 11:42:00,39.75,5,pre
536890,14156,2010-12-03 11:48:00,322.2,1548,pre
536938,14680,2010-12-03 12:05:00,1680.88,464,pre
536943,17884,2010-12-03 12:11:00,187.51,170,pre
536944,12557,2010-12-03 12:20:00,620.0,400,pre
536945,14083,2010-12-03 12:24:00,309.54,179,pre
536946,13013,2010-12-03 12:28:00,841.94,363,pre
536947,13013,2010-12-03 12:29:00,686.4,439,pre
536954,17809,2010-12-03 12:41:00,425.0,100,pre
536956,14210,2010-12-03 12:43:00,304.95000000000005,93,pre
536957,17809,2010-12-03 12:43:00,791.7,234,pre
536960,16477,2010-12-03 12:48:00,225.65,125,pre
536967,12600,2010-12-03 12:57:00,76.5,31,pre
536968,16013,2010-12-03 13:09:00,534.0,168,pre
536969,16013,2010-12-03 13:10:00,528.0,192,pre
536970,17949,2010-12-03 13:12:00,1314.0,120,pre
536971,12779,2010-12-03 13:40:00,248.16,140,pre
536972,16926,2010-12-03 13:42:00,230.25,35,pre
536973,17787,2010-12-03 13:43:00,736.28,356,pre
536974,12682,2010-12-03 13:59:00,336.24,132,pre
536975,14911,2010-12-03 14:04:00,1705.65,827,pre
536976,14723,2010-12-03 14:18:00,149.8,76,pre
536977,17954,2010-12-03 14:18:00,108.78,60,pre
536980,17819,2010-12-03 14:26:00,591.47,239,pre
536981,14723,2010-12-03 14:26:00,101.14,39,pre
536983,12712,2010-12-03 14:30:00,175.53,60,pre
536984,17841,2010-12-03 14:35:00,339.54,136,pre
536985,15373,2010-12-03 14:40:00,334.3,42,pre
536986,16140,2010-12-03 14:40:00,124.14,104,pre
536987,17198,2010-12-03 14:54:00,272.01,124,pre
536988,17238,2010-12-03 15:05:00,254.39000000000001,100,pre
536989,17238,2010-12-03 15:10:00,115.7,26,pre
536990,12793,2010-12-03 15:14:00,131.8,65,pre
536992,15769,2010-12-03 15:16:00,91.8,36,pre
536993,14396,2010-12-03 15:19:00,110.35000000000001,39,pre
536994,14898,2010-12-03 15:25:00,98.5,18,pre
537022,12725,2010-12-03 15:45:00,427.8,164,pre
537023,16725,2010-12-03 16:02:00,122.15,64,pre
537026,12395,2010-12-03 16:35:00,346.1,528,pre
537030,16455,2010-12-03 16:44:00,246.3,142,pre
537031,16455,2010-12-03 16:45:00,135.0,108,pre
537034,13081,2010-12-03 17:20:00,2355.1800000000003,1338,pre
537035,13081,2010-12-03 17:21:00,11.6,8,pre
537036,15545,2010-12-03 17:28:00,135.32999999999998,75,pre
537037,17243,2010-12-05 10:03:00,256.90000000000003,92,pre
537038,15465,2010-12-05 10:12:00,535.75,125,pre
537040,13089,2010-12-05 10:27:00,734.3999999999999,192,pre
537041,16033,2010-12-05 10:36:00,155.64,52,pre
537042,13838,2010-12-05 10:45:00,238.11,83,pre
537044,18055,2010-12-05 10:52:00,431.45,93,pre
537045,15038,2010-12-05 10:54:00,126.43,46,pre
537046,18109,2010-12-05 10:58:00,277.45,55,pre
537047,13069,2010-12-05 11:02:00,326.6,181,pre
537048,13069,2010-12-05 11:03:00,5.9,2,pre
537049,16241,2010-12-05 11:04:00,277.65000000000003,97,pre
537050,14800,2010-12-05 11:10:00,555.84,437,pre
537051,15708,2010-12-05 11:12:00,350.68,158,pre
537052,16839,2010-12-05 11:15:00,552.24,232,pre
537053,16168,2010-12-05 11:38:00,275.8,124,pre
537054,16931,2010-12-05 11:40:00,152.04999999999998,82,pre
537055,16814,2010-12-05 11:45:00,273.29,107,pre
537057,15351,2010-12-05 11:49:00,274.67,129,pre
537058,13269,2010-12-05 11:51:00,351.43000000000006,197,pre
537059,14813,2010-12-05 11:54:00,127.98,59,pre
537065,12567,2010-12-05 11:57:00,1526.92,611,pre
537067,14813,2010-12-05 11:57:00,27.45,8,pre
537077,17062,2010-12-05 11:59:00,179.64000000000001,163,pre
537081,15332,2010-12-05 12:00:00,1145.06,442,pre
537086,15332,2010-12-05 12:01:00,438.0,168,pre
537090,15332,2010-12-05 12:02:00,15.0,12,pre
537111,14810,2010-12-05 12:08:00,180.44,84,pre
537117,16353,2010-12-05 12:09:00,204.0,48,pre
537126,18118,2010-12-05 12:13:00,475.86,212,pre
537127,13831,2010-12-05 12:13:00,408.0,160,pre
537128,12841,2010-12-05 12:15:00,211.74,135,pre
537129,13506,2010-12-05 12:15:00,301.12,232,pre
537130,17796,2010-12-05 12:23:00,114.65,28,pre
537131,15716,2010-12-05 12:26:00,547.1,435,pre
537133,18156,2010-12-05 12:29:00,206.23,73,pre
537134,16983,2010-12-05 12:34:00,163.49,107,pre
537135,17059,2010-12-05 12:35:00,722.36,471,pre
537136,12748,2010-12-05 12:42:00,273.76,152,pre
537137,16327,2010-12-05 12:43:00,535.6,392,pre
537138,17211,2010-12-05 12:44:00,273.3,204,pre
537139,17026,2010-12-05 12:47:00,33.15,25,pre
537140,12748,2010-12-05 12:53:00,70.42,54,pre
537141,15570,2010-12-05 12:57:00,517.65,165,pre
537142,12748,2010-12-05 12:57:00,41.45,16,pre
537144,15880,2010-12-05 13:00:00,343.28000000000003,211,pre
537153,16718,2010-12-05 13:03:00,623.75,413,pre
537154,15808,2010-12-05 13:05:00,1021.45,355,pre
537155,12748,2010-12-05 13:05:00,75.64,66,pre
537156,17858,2010-12-05 13:08:00,251.25,87,pre
537158,16393,2010-12-05 13:10:00,184.8,86,pre
537159,14527,2010-12-05 13:17:00,292.95,60,pre
537160,14161,2010-12-05 13:18:00,283.15000000000003,128,pre
537163,17863,2010-12-05 13:21:00,384.71999999999997,276,pre
537176,16411,2010-12-05 13:26:00,131.5,70,pre
537179,13767,2010-12-05 13:29:00,806.2800000000001,284,pre
537192,16402,2010-12-05 13:42:00,211.8,105,pre
537193,15023,2010-12-05 13:49:00,460.6,232,pre
537194,17402,2010-12-05 13:53:00,271.2,80,pre
537195,15311,2010-12-05 13:55:00,650.64,310,pre
537196,15426,2010-12-05 13:55:00,411.42,159,pre
537197,12647,2010-12-05 14:02:00,286.5,79,pre
537198,12647,2010-12-05 14:03:00,85.5,11,pre
537199,15894,2010-12-05 14:06:00,156.74,115,pre
537200,15867,2010-12-05 14:17:00,112.9,47,pre
537201,12472,2010-12-05 14:19:00,1631.3,972,pre
537202,14506,2010-12-05 14:25:00,269.7,112,pre
537204,15555,2010-12-05 14:45:00,198.43,293,pre
537205,13034,2010-12-05 14:52:00,165.86,116,pre
537206,15235,2010-12-05 15:02:00,85.55000000000001,25,pre
537207,17402,2010-12-05 15:06:00,188.77,40,pre
537208,15889,2010-12-05 15:12:00,297.92,149,pre
537209,14606,2010-12-05 15:12:00,192.68,83,pre
537210,15953,2010-12-05 15:15:00,209.84,101,pre
537211,16143,2010-12-05 15:18:00,355.75,145,pre
537212,12720,2010-12-05 15:21:00,473.39,299,pre
537213,12748,2010-12-05 15:26:00,8.65,7,pre
537214,16422,2010-12-05 15:35:00,1668.2,2048,pre
537215,12747,2010-12-05 15:38:00,358.56,108,pre
537216,15502,2010-12-05 15:40:00,569.5,240,pre
537217,15502,2010-12-05 15:40:00,167.2,16,pre
537218,12763,2010-12-05 15:46:00,320.08,196,pre
537219,14081,2010-12-05 15:47:00,423.52,252,pre
537221,17965,2010-12-05 15:54:00,37.35,14,pre
537222,14404,2010-12-05 16:00:00,133.48,57,pre
537223,13579,2010-12-05 16:10:00,164.70000000000002,46,pre
537224,13174,2010-12-05 16:24:00,1415.97,700,pre
537225,12748,2010-12-05 16:41:00,496.48,316,pre
537226,15987,2010-12-06 08:34:00,113.47999999999999,86,pre
537227,17677,2010-12-06 08:42:00,922.4,700,pre
537228,17677,2010-12-06 08:43:00,25.200000000000003,12,pre
537229,17677,2010-12-06 08:44:00,17.4,12,pre
537231,13652,2010-12-06 09:21:00,308.8,112,pre
537233,17428,2010-12-06 09:37:00,353.0,148,pre
537235,17381,2010-12-06 09:45:00,2567.6400000000003,1464,pre
537236,16858,2010-12-06 09:52:00,375.69000000000005,91,pre
537238,16161,2010-12-06 10:03:00,164.2,88,pre
537239,18219,2010-12-06 10:05:00,210.19,67,pre
537241,14293,2010-12-06 10:18:00,364.92,172,pre
537242,14748,2010-12-06 10:19:00,412.22,282,pre
537243,16638,2010-12-06 10:19:00,50.400000000000006,24,pre
537244,17674,2010-12-06 10:20:00,300.66,349,pre
537245,14748,2010-12-06 10:24:00,58.2,48,pre
537246,12808,2010-12-06 10:27:00,129.4,53,pre
537247,13094,2010-12-06 10:34:00,223.68,192,pre
537248,15899,2010-12-06 10:36:00,56.25,39,pre
537249,16955,2010-12-06 10:38:00,33.0,20,pre
537250,12708,2010-12-06 10:43:00,196.44,89,pre
537254,15898,2010-12-06 11:01:00,382.69,210,pre
537255,14443,2010-12-06 11:03:00,303.5,163,pre
537256,16210,2010-12-06 11:06:00,2263.8,796,pre
537257,17691,2010-12-06 11:10:00,142.5,58,pre
537258,17227,2010-12-06 11:16:00,142.25,92,pre
537262,15039,2010-12-06 11:26:00,611.51,266,pre
537265,15919,2010-12-06 11:26:00,270.72,242,pre
537298,13497,2010-12-06 11:37:00,153.5,54,pre
537301,15860,2010-12-06 11:38:00,102.66,72,pre
537312,14189,2010-12-06 11:42:00,311.24,254,pre
537313,15304,2010-12-06 11:42:00,123.15,21,pre
537332,14344,2010-12-06 11:58:00,322.8,120,pre
537334,16719,2010-12-06 12:06:00,430.73,146,pre
537335,15048,2010-12-06 12:15:00,98.7,32,pre
537346,15301,2010-12-06 12:21:00,673.37,503,pre
537350,14708,2010-12-06 12:23:00,419.06,350,pre
537351,16898,2010-12-06 12:23:00,116.08,98,pre
537354,12748,2010-12-06 12:23:00,133.07,85,pre
537359,14825,2010-12-06 12:30:00,184.10000000000002,72,pre
537360,18113,2010-12-06 12:31:00,76.32000000000001,72,pre
537362,17596,2010-12-06 12:34:00,392.62,530,pre
537365,15078,2010-12-06 12:38:00,449.95000000000005,201,pre
537366,14085,2010-12-06 12:39:00,308.05,106,pre
537367,15078,2010-12-06 12:39:00,25.200000000000003,12,pre
537368,14911,2010-12-06 12:40:00,377.5,135,pre
537369,17860,2010-12-06 12:41:00,252.8,104,pre
537370,13155,2010-12-06 12:44:00,379.7,168,pre
537371,15028,2010-12-06 12:47:00,185.97,119,pre
537372,16919,2010-12-06 12:52:00,198.35,73,pre
537374,17259,2010-12-06 12:55:00,381.64,275,pre
537375,17019,2010-12-06 12:55:00,358.82,223,pre
537376,16722,2010-12-06 12:59:00,480.68,278,pre
537377,15882,2010-12-06 13:01:00,270.52,116,pre
537378,14911,2010-12-06 13:06:00,784.15,476,pre
537380,15882,2010-12-06 13:12:00,100.80000000000001,48,pre
537381,14667,2010-12-06 13:13:00,511.56,372,pre
537382,16710,2010-12-06 13:13:00,375.47,197,pre
537384,15984,2010-12-06 13:21:00,122.7,56,pre
537385,14487,2010-12-06 13:22:00,125.10000000000001,37,pre
537386,14911,2010-12-06 13:32:00,20.85,3,pre
537387,13468,2010-12-06 13:34:00,222.18,84,pre
537388,17682,2010-12-06 13:35:00,391.5,210,pre
537389,17757,2010-12-06 13:41:00,149.0,60,pre
537390,16658,2010-12-06 13:47:00,123.24,40,pre
537391,16550,2010-12-06 13:53:00,554.66,257,pre
537392,17068,2010-12-06 13:58:00,166.15,80,pre
537393,13089,2010-12-06 13:59:00,2415.04,972,pre
537394,13089,2010-12-06 14:00:00,81.17999999999999,54,pre
537395,15356,2010-12-06 14:05:00,150.22,80,pre
537396,17223,2010-12-06 14:08:00,292.84,64,pre
537397,16817,2010-12-06 14:19:00,244.20000000000002,164,pre
537399,13030,2010-12-06 14:31:00,427.74,204,pre
537400,17191,2010-12-06 14:36:00,422.81,261,pre
537403,17191,2010-12-06 14:43:00,30.45,21,pre
537404,17191,2010-12-06 14:46:00,56.85,38,pre
537405,17841,2010-12-06 14:51:00,406.69,132,pre
537407,15502,2010-12-06 14:55:00,192.7,34,pre
537409,15194,2010-12-06 15:00:00,406.16,247,pre
537410,14409,2010-12-06 15:03:00,151.20000000000002,72,pre
537412,14409,2010-12-06 15:06:00,177.60000000000002,96,pre
537415,16654,2010-12-06 15:09:00,227.4,63,pre
